index;name;etype;hv_bus ;lv_bus ;sn_mva ;vn_hv_kv ;vn_lv_kv ;vkr_percent ;vk_percent ;pfe_kw ;i0_percent ;shift_degree;parallel ;in_service
500001;УЛЬКЕ-500 - Ульке-220;trafo;9001;3020;501;500;220;0.189;11;172;0.246;0;1;TRUE
500002;Актогай-220 - Актогай-110;trafo;483;484;250;220;110;0.189;11;172;0.246;0;1;TRUE
500003;ВОСХОД - Восход;trafo;1853;1854;501;500;220;0.189;11;270;0.55;0;1;FALSE
500004;ЦГПП  - цгпп;trafo;129;130;501;500;220;0.147;11;172;0.246;0;2;FALSE
500005;СОКОЛ-500 - Сокол-220;trafo;576;575;501;500;220;0.147;11;172;0.246;0;1;FALSE
500006;СОКОЛ-500 - Сокол-220;trafo;576;575;501;500;220;0.147;11;172;0.246;0;1;FALSE
500007;КОСТАНАЙСКАЯ - Кустанайская;trafo;590;592;501;500;220;0.147;11;172;0.246;0;1;FALSE
500008;ЖИТИКАРА-500 - Житикара-110;trafo;577;578;250;500;110;0.42;10;220;0.55;0;1;FALSE
500009;ЭГРЭС-1-500 - эгрэс-1;trafo;25;39;801;500;220;0.0251;8.6;297.45;0.15;0;1;FALSE
500010;ЭГРЭС-1-500 - эгрэс-1-бл3-8;trafo;25;51;630;500;20;0.203;14.2;270.97;0.058;0;6;FALSE
500011;ЭГРЭС-2-500 - эгрэс-2-20;trafo;28;60;630;500;20;0.203;14.7;380;0.21;0;2;FALSE
500012;ЕЭК-500 - еэк-20-бл5-8;trafo;31;30;400;500;20;0.20075;12.6;370;0.54;0;3;FALSE
500013;ЕЭК-500 - еэк-220;trafo;31;33;801;500;220;0.17;11.9;273.3;0.291;0;1;FALSE
500014;еэк-220 - еэк-20-бл2-4;trafo;33;32;630;220;20;0.219;10.7;274;0.5;0;3;FALSE
500015;эгрэс-1 - эгрэс-1-бл2;trafo;39;50;630;220;20;0.206;12.5;380;0.35;0;1;FALSE
500016;УСТЬ-КАМЕНОГРСКАЯ-500 - Усть-Камногорская-220;trafo;240;241;501;500;220;0.189;11;270;0.55;0;1;FALSE
500017;УСТЬ-КАМЕНОГРСКАЯ-500 - Усть-Камногорская-220;trafo;240;241;501;500;220;0.189;11;270;0.55;0;1;FALSE
500018;шгэс-220 - шгэс-14;trafo;220;221;250;220;14;0.24;11;207;0.5;0;1;FALSE
500019;жтэц-220 - жтэц;trafo;463;462;125;220;110;0.25;11.8;219.37;0.37;0;2;TRUE
500020;Никольская - Никольская;trafo;464;461;125;220;110;0.252;11;65;0.4;0;1;TRUE
500021;Кумколь - Кумколь;trafo;467;455;125;220;110;0.252;11;65;0.4;0;2;FALSE
500022;АГАДЫРЬ-500 - Aгадырь-220;trafo;469;468;501;500;220;0.189;11;270;0.55;0;1;FALSE
500023;Балхашская-220 - Балхашская-110;trafo;473;472;125;220;110;0.252;11;65;0.4;0;2;FALSE
500024;ЖЕЗКАЗГАН-500 - Жезказган-220;trafo;480;466;501;500;220;0.189;11;270;0.55;0;1;FALSE
500025;ЮКГРЭС - юкгрэс;trafo;900;901;501;500;220;0.189;11;270;0.55;0;1;FALSE
500026;АЛМАТЫ - Алматы;trafo;902;903;501;500;220;0.189;11;270;0.246;0;2;FALSE
500027;Капчагайская гэс-220 - Капчагайская гэс-14;trafo;909;910;125;220;15;0.304;11;135;0.5;0;2;TRUE
500028;Мойнакская гэс-220 - Мойнакская гэс-15-1;trafo;935;937;200;220;15;0.275;10.5;140;0.5;0;1;TRUE
500029;пс-7 - пс-7;trafo;912;913;250;220;110;0.208;11;65;0.4;0;2;FALSE
500030;ЖАМБЫЛ - Жамбыл;trafo;800;801;501;500;220;0.06041318;10.5;206.49;0.35;0;1;FALSE
500031;жгрэс-220 - жгрэс-16;trafo;805;806;250;220;15;0.25;11.8;219.37;0.37;0;1;TRUE
500032;жгрэс-220 - жгрэс-110;trafo;805;807;240;220;110;0.155;12.6;368;1.3;0;2;TRUE
500033;ШЫМКЕНТ-500 - Шымкент-220;trafo;830;831;501;500;220;0.07205588;11.8;168.9;0.3;0;1;FALSE
500034;ШЫМКЕНТ-500 - Шымкент-220;trafo;830;831;501;500;220;0.07205588;11.8;168.9;0.3;0;1;FALSE
500035;Коунрад-220 - Коунрад-110;trafo;481;482;63;220;110;0.317;11;37;0.45;0;1;TRUE
500036;цгпп - цгпп;trafo;130;124;250;220;110;0.208;11;145;0.5;0;1;FALSE
500037;цгпп - цгпп;trafo;130;124;250;220;110;0.208;11;145;0.5;0;1;FALSE
500038;КОКЧЕТАВСКАЯ - Кокшетауская-1150;trafo;175;176;501;500;220;0.147;11;172;0.246;0;1;FALSE
500039;ЕСИЛЬ - Есиль;trafo;180;170;501;500;220;0.147;11;172;0.246;0;1;FALSE
500040;ЦГПП  - цгпп;trafo;129;130;501;500;220;0.147;11;172;0.246;0;2;FALSE
500041;АВРОРА - Аврора;trafo;147;148;501;500;220;0.147;11;172;0.246;0;1;FALSE
500042;АВРОРА - Аврора;trafo;147;148;501;500;220;0.147;11;172;0.246;0;1;FALSE
500043;Сибирь - Сибирь;trafo;161;160;63;220;110;0.317;11;37;0.45;0;1;TRUE
500044;СЕМЕЙ-500 - Семей-220;trafo;980;981;501;500;220;0.189;11;270;0.55;0;1;FALSE
500045;Актогай-220 - Актогай-110;trafo;483;484;63;220;110;0.317;11;37;0.45;0;1;FALSE
500046;АЛМА - Алма;trafo;938;939;501;500;220;0.188;11;270;0.246;0;1;FALSE
500047;АЛМА - Алма;trafo;938;939;501;500;220;0.188;11;270;0.246;0;1;FALSE
500048;ТАЛДЫКОРГАН-500 - Талдыкорган-220;trafo;987;988;501;500;220;0.189;11;270;0.55;0;1;TRUE
500049;АЛМАТЫ - Алматы;trafo;902;903;501;500;220;0.188;11;270;0.246;0;2;FALSE
500050;КЕМИН - Кемин;trafo;2951;2952;501;500;220;0.209;11.5;230;0.3;0;1;FALSE
500051;КЕМИН - Кемин;trafo;2951;2952;501;500;220;0.209;11.5;230;0.3;0;1;FALSE
500052;Акжар - арбз;trafo;3004;4004;200;220;110;0.215;11;48;0.45;0;2;TRUE
500053;вэс ерейментау - wtu 2.0;trafo;155;191;63;220;35;0.2;11;40;0.4;0;1;TRUE
500054;НУРА-500 - Нура-220;trafo;325;310;501;500;220;0.189;11;270;0.55;0;1;FALSE
500055;птэц-2-220 - птэц-2-110;trafo;144;142;125;220;110;0.252;11;65;0.4;0;1;FALSE
500056;птэц-2-220 - птэц-2-110;trafo;144;142;125;220;110;0.252;11;65;0.4;0;1;FALSE
500057;ТРОИЦКАЯ ГРЭС - Троицкая грэс;trafo;4799;4798;630;500;220;0.224;11.62;0;0;0;1;FALSE
500058;РУБЦОВСКАЯ - Рубцовская;trafo;1621;1622;501;500;220;0.189;11;270;0.55;0;1;FALSE
500059;БАРНАУЛ-500 - Барнаул-220;trafo;1630;1640;501;500;220;0.188;11;270;0.55;0;1;TRUE
500060;БАРНАУЛ-500 - Барнаул-220;trafo;1630;1640;501;500;220;0.188;11;270;0.55;0;1;TRUE
500061;Мойнакская гэс-220 - Мойнакская гэс-15-2;trafo;935;941;200;220;15;0.275;10.5;140;0.5;0;1;TRUE
500062;Коунрад-220 - Коунрад-110;trafo;481;482;63;220;110;0.317;11;37;0.45;0;1;TRUE
500063;Экибастуз-220 - Экибастузская тэц;trafo;38;44;1250;220;6;0;0.59;0;0;0;1;TRUE
500064;ТАВРИЧЕСКАЯ - Таврическая;trafo;1817;1816;501;500;220;0.189;11;270;0.55;0;1;FALSE
500065;ТАВРИЧЕСКАЯ - Таврическая;trafo;1817;1816;501;500;220;0.189;11;270;0.55;0;1;FALSE
500066;ШУ - Шу;trafo;9932;932;501;500;220;0.031;9.5;105;0.4;0;1;FALSE
500067;ИРТЫШСКАЯ - Иртышская;trafo;1850;1851;501;500;220;0.189;11;270;0.55;0;1;TRUE
500068;ФРУНЗЕ - Бишкек;trafo;2919;2918;501;500;220;0.188;11;270;0.246;0;1;FALSE
500069;ФРУНЗЕ - Бишкек;trafo;2919;2918;501;500;220;0.188;11;270;0.246;0;1;FALSE
500070;ТАШ.ГРЭС - Ташкент;trafo;2924;2925;501;500;220;0.189;11;270;0.55;0;1;FALSE
500071;ИРИКЛИНСКАЯ ГРЭС - Ириклинская грэс;trafo;4790;4791;800;500;220;0.176;11.5;375;0.25;0;1;TRUE
500072;бтэц-110 - бтэц-10;trafo;471;470;80;110;10;0.387;10.5;70;0.6;0;1;TRUE
500073;ИРИКЛИНСКАЯ ГРЭС - Ириклинская грэс;trafo;4790;4791;800;500;220;0.176;11.5;375;0.25;0;1;TRUE
500074;БАРАБИНСКАЯ - Барабинская-220;trafo;9917;1671;501;500;220;0.212;11.2;0;0;0;1;TRUE
